Region, District No, District, School No,Type,County, School, Email, Title, Status, Phone1, Fax, Grade Levels,ADDRESS,geometry,lng,lat
FIRST TENNESSEE CORE REGIONAL OFFICE,100,CARTER COUNTY,975,Homebound,Carter,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","305 Academy ST, Elizabethton, TN 37643",POINT (-82.2126092 36.3508599),-82.2126092,36.3508599
MID CUMBERLAND CORE REGIONAL OFFICE,110,CHEATHAM COUNTY,975,Homebound,Cheatham,Homebound,,Principal: Kinny Jones,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","102 Elizabeth ST, Ashland City, TN 37015",POINT (-87.062924 36.2720164),-87.062924,36.2720164
SOUTHWEST CORE REGIONAL OFFICE,120,CHESTER COUNTY,975,Homebound,Chester,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","Po Box 327, Henderson, TN 38340",POINT (-88.641441 35.4392435),-88.641441,35.4392435
EAST TENNESSEE CORE REGIONAL OFFICE,130,CLAIBORNE COUNTY,975,Homebound,Claiborne,Homebound,dorothy.shuford@claibornecsd.org,Principal: Dorothy LeFevers,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","Po Box 179, Tazewell, TN 37879",POINT (-83.57903569999999 36.4489947),-83.57903569999999,36.4489947
UPPER CUMBERLAND CORE REGIONAL OFFICE,140,CLAY COUNTY,975,Homebound,Clay,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","520 Brown ST, Celina, TN 38551",POINT (-85.5050943 36.546892),-85.5050943,36.546892
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,61,CLEVELAND,975,Homebound,Bradley,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","4300 Mouse Creek N W RD, Cleveland, TN 37312",POINT (-84.8581018 35.2088274),-84.8581018,35.2088274
EAST TENNESSEE CORE REGIONAL OFFICE,11,CLINTON,975,Homebound,Anderson,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","212 N Hicks ST, Clinton, TN 37716",POINT (-84.1361548 36.0979022),-84.1361548,36.0979022
FIRST TENNESSEE CORE REGIONAL OFFICE,150,COCKE COUNTY,975,Homebound,Cocke,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","305 Hedrick DR, Newport, TN 37821",POINT (-83.2000226 35.962459),-83.2000226,35.962459
SOUTH CENTRAL CORE REGIONAL OFFICE,160,COFFEE COUNTY,975,Homebound,Coffee,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","1343 McArthur ST, Manchester, TN 37355",POINT (-86.0886422 35.4591433),-86.0886422,35.4591433
NORTHWEST TENNESSEE CORE REGIONAL OFFICE,170,CROCKETT COUNTY,975,Homebound,Crockett,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","102 Hwy 412 North, Alamo, TN 38001",POINT (-89.1172883 35.7847949),-89.1172883,35.7847949
UPPER CUMBERLAND CORE REGIONAL OFFICE,180,CUMBERLAND COUNTY,975,Homebound,Cumberland,Homebound,,Principal: ,A,,,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12","756 Stanley ST, Crossville, TN 38555",POINT (-85.03703689999999 35.9412316),-85.03703689999999,35.9412316
MID CUMBERLAND CORE REGIONAL OFFICE,190,DAVIDSON COUNTY,975,Homebound,Davidson,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","2601 Bransford AVE, Nashville, TN 37204",POINT (-86.7664614 36.1215802),-86.7664614,36.1215802
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,721,DAYTON,975,Homebound,Rhea,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","520 Cherry ST, Dayton, TN 37321",POINT (-85.0166041 35.4873506),-85.0166041,35.4873506
SOUTHWEST CORE REGIONAL OFFICE,200,DECATUR COUNTY,975,Homebound,Decatur,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","Po Box 369, Decaturville, TN 38329",POINT (-88.1234783 35.5835765),-88.1234783,35.5835765
UPPER CUMBERLAND CORE REGIONAL OFFICE,210,DEKALB COUNTY,975,Homebound,DeKalb,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","110 South Public Sq, Smithville, TN 37166",POINT (-85.81370249999999 35.96026630000001),-85.81370249999999,35.96026630000001
MID CUMBERLAND CORE REGIONAL OFFICE,220,DICKSON COUNTY,975,Homebound,Dickson,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","115 Academy ST, Dickson, TN 37055",POINT (-87.3819968 36.0748413),-87.3819968,36.0748413
NORTHWEST TENNESSEE CORE REGIONAL OFFICE,230,DYER COUNTY,975,Homebound,Dyer,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","159 Everett AVE, Dyersburg, TN 38024",POINT (-89.36162949999999 36.0288118),-89.36162949999999,36.0288118
NORTHWEST TENNESSEE CORE REGIONAL OFFICE,231,DYERSBURG,975,Homebound,Dyer,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","1025 Phillips ST, Dyersburg, TN 38025",POINT (-89.37332769999999 36.0360657),-89.37332769999999,36.0360657
FIRST TENNESSEE CORE REGIONAL OFFICE,101,ELIZABETHTON,975,Homebound,Carter,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","804 S Watauga AVE, Elizabethton, TN 37643",POINT (-82.2217569 36.3380627),-82.2217569,36.3380627
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,542,ETOWAH,975,Homebound,McMinn,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","858 8th ST, Etowah, TN 37331",POINT (-84.53409610000001 35.327094),-84.53409610000001,35.327094
SOUTHWEST CORE REGIONAL OFFICE,240,FAYETTE COUNTY PUBLIC SCHOOLS,975,Homebound,Fayette,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","126 W Market ST, Somerville, TN 38068",POINT (-89.3508162 35.2444901),-89.3508162,35.2444901
SOUTH CENTRAL CORE REGIONAL OFFICE,521,FAYETTEVILLE,975,Homebound,Lincoln,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","110 Elk Avenue South Suite 200, Fayetteville, TN 37334",POINT (-86.5691709 35.151345),-86.5691709,35.151345
UPPER CUMBERLAND CORE REGIONAL OFFICE,250,FENTRESS COUNTY,975,Homebound,Fentress,Homebound,,Principal: Sandy Conatser,A,(931) 879-8447,,"K,1,2,3,4,5,6,7,8,9,10,11,12","1011 Old Hwy 127 S, Jamestown, TN 38556",POINT (-84.93695489999999 36.4059623),-84.93695489999999,36.4059623
SOUTH CENTRAL CORE REGIONAL OFFICE,260,FRANKLIN COUNTY,975,Homebound,Franklin,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","215 S College ST, Winchester, TN 37398",POINT (-86.10944959999999 35.1854895),-86.10944959999999,35.1854895
NORTHWEST TENNESSEE CORE REGIONAL OFFICE,275,GIBSON CO SP DIST,975,Homebound,Gibson,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","130 Hwy 45 W, Dyer, TN 38330",POINT (-89.1795697 45.4745499),-89.1795697,45.4745499
SOUTH CENTRAL CORE REGIONAL OFFICE,280,GILES COUNTY,975,Homebound,Giles,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","270 Richland DR, Pulaski, TN 38478",POINT (-87.03988179999999 35.2007613),-87.03988179999999,35.2007613
EAST TENNESSEE CORE REGIONAL OFFICE,290,GRAINGER COUNTY,975,Homebound,Grainger,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","Po Box 38, Rutledge, TN 37861",POINT (-83.5149023 36.2809202),-83.5149023,36.2809202
FIRST TENNESSEE CORE REGIONAL OFFICE,300,GREENE COUNTY,975,Homebound,Greene,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","910 W Summer ST, Greeneville, TN 37743",POINT (-82.84681540000001 36.1676158),-82.84681540000001,36.1676158
FIRST TENNESSEE CORE REGIONAL OFFICE,301,GREENEVILLE,975,Homebound,Greene,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","Po Box 1420, Greeneville, TN 37744",POINT (-82.8339208 36.1632243),-82.8339208,36.1632243
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,310,GRUNDY COUNTY,975,Homebound,Grundy,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","Po Box 97, Altamont, TN 37301",POINT (-85.7230316 35.4295186),-85.7230316,35.4295186
NORTHWEST TENNESSEE CORE REGIONAL OFFICE,92,HOLLOW ROCK - BRUCETON,975,Homebound,Carroll,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","Po Box 135, Bruceton, TN 38317",POINT (-88.24437349999999 36.0409197),-88.2443735,36.0409197
FIRST TENNESSEE CORE REGIONAL OFFICE,320,HAMBLEN COUNTY,975,Homebound,Hamblen,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","210 E Morris BLVD, Morristown, TN 37813",POINT (-83.28910399999999 36.2121566),-83.289104,36.2121566
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,330,HAMILTON COUNTY,975,Homebound,Hamilton,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","3074 Hickory Valley RD, Chattanooga, TN 37421",POINT (-85.1542457 35.0733431),-85.1542457,35.0733431
FIRST TENNESSEE CORE REGIONAL OFFICE,340,HANCOCK COUNTY,975,Homebound,Hancock,Homebound,misty.rasnic@hcsk12.com,Principal: Misty Rasnic,A,,(423) 733-8757,"K,1,2,3,4,5,6,7,8,9,10,11,12","418 Harrison ST, Sneedville, TN 37869",POINT (-83.2160286 36.5256698),-83.2160286,36.5256698
SOUTHWEST CORE REGIONAL OFFICE,350,HARDEMAN COUNTY SCHOOLS,975,Homebound,Hardeman,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","10815 Old Hwy 64, Bolivar, TN 38008",POINT (-89.0294701 35.2784738),-89.0294701,35.2784738
SOUTHWEST CORE REGIONAL OFFICE,360,HARDIN COUNTY,975,Homebound,Hardin,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","155 Guinn ST, Savannah, TN 38372",POINT (-88.2486471 35.2256046),-88.2486471,35.2256046
FIRST TENNESSEE CORE REGIONAL OFFICE,370,HAWKINS COUNTY,975,Homebound,Hawkins,Homebound,greg.sturgill@hck12.net,Principal: Greg Sturgill,A,(423) 272-7629,,"K,1,2,3,4,5,6,7,8,9,10,11,12","200 N Depot ST, Rogersville, TN 37857",POINT (-83.00724459999999 36.40893459999999),-83.00724459999999,36.40893459999999
SOUTHWEST CORE REGIONAL OFFICE,380,HAYWOOD COUNTY,975,Homebound,Haywood,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","900 E Main ST, Brownsville, TN 38012",POINT (-89.2548972 35.5926241),-89.2548972,35.5926241
FIRST TENNESSEE CORE REGIONAL OFFICE,901,JOHNSON CITY,975,Homebound,Washington,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","Po Box 1517, Johnson City, TN 37605",POINT (-82.34999999999999 36.31),-82.35,36.31
FIRST TENNESSEE CORE REGIONAL OFFICE,460,JOHNSON COUNTY,975,Homebound,Johnson,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","211 N Church ST, Mountain City, TN 37683",POINT (-81.8043734 36.4760037),-81.8043734,36.4760037
FIRST TENNESSEE CORE REGIONAL OFFICE,822,KINGSPORT,975,Homebound,Sullivan,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","400 Clinchfield ST, Kingsport, TN 37660",POINT (-82.5646532 36.5529819),-82.5646532,36.5529819
EAST TENNESSEE CORE REGIONAL OFFICE,470,KNOX COUNTY,975,Homebound,Knox,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","912 S Gay ST, Knoxville, TN 37902",POINT (-83.9156555 35.96130550000001),-83.9156555,35.96130550000001
NORTHWEST TENNESSEE CORE REGIONAL OFFICE,480,LAKE COUNTY,975,Homebound,Lake,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","Po Box 397, Tiptonville, TN 38079",POINT (-89.4822726 36.3786368),-89.4822726,36.3786368
SOUTHWEST CORE REGIONAL OFFICE,490,LAUDERDALE COUNTY,975,Homebound,Lauderdale,Homebound,taylorb13@ten-nash.ten.k12.tn.us,"Principal: Daniel Mobley, Director of ESS",A,(731) 635-2941,(731) 635-7985,"K,1,2,3,4,5,6,7,8,9,10,11,12","321 Armory AVE, Ripley, TN 38063",POINT (-89.54097200000001 35.732827),-89.54097200000001,35.732827
SOUTH CENTRAL CORE REGIONAL OFFICE,500,LAWRENCE COUNTY,975,Homebound,Lawrence,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","410 W Gaines ST, Lawrenceburg, TN 38464",POINT (-87.3428924 35.2437523),-87.3428924,35.2437523
MID CUMBERLAND CORE REGIONAL OFFICE,951,LEBANON,975,Homebound,Wilson,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","701 Coles Ferry PIKE, Lebanon, TN 37087",POINT (-86.2977781 36.2195981),-86.2977781,36.2195981
EAST TENNESSEE CORE REGIONAL OFFICE,531,LENOIR CITY,975,Homebound,Loudon,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","200 E Broadway, Lenoir City, TN 37771",POINT (-84.264382 35.7916615),-84.264382,35.7916615
SOUTH CENTRAL CORE REGIONAL OFFICE,510,LEWIS COUNTY,975,Homebound,Lewis,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","206 S Court ST, Hohenwald, TN 38462",POINT (-87.55430229999999 35.54506),-87.55430229999999,35.54506
SOUTH CENTRAL CORE REGIONAL OFFICE,520,LINCOLN COUNTY,975,Homebound,Lincoln,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","206 E Davidson ST, Fayetteville, TN 37334",POINT (-86.5715184 35.1427126),-86.5715184,35.1427126
EAST TENNESSEE CORE REGIONAL OFFICE,530,LOUDON COUNTY,975,Homebound,Loudon,Homebound,mcgimseyk@loudoncounty.org,Principal: Kim Mc Gimsey,A,,,"PS,K,1,2,3,4,5,6,7,8,9,10,11,12","100 River RD, Loudon, TN 37774",POINT (-84.3438269 35.7404249),-84.3438269,35.7404249
UPPER CUMBERLAND CORE REGIONAL OFFICE,560,MACON COUNTY,975,Homebound,Macon,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","501 College ST, Lafayette, TN 37083",POINT (-86.0322441 36.5189776),-86.0322441,36.5189776
SOUTHWEST CORE REGIONAL OFFICE,570,MADISON COUNTY,975,Homebound,Madison,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","310 North PKWY, Jackson, TN 38305",POINT (-88.8527699 35.6452436),-88.8527699,35.6452436
SOUTH CENTRAL CORE REGIONAL OFFICE,161,MANCHESTER,975,Homebound,Coffee,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","215 E Fort ST, Manchester, TN 37355",POINT (-86.08527309999999 35.483625),-86.0852731,35.483625
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,580,MARION COUNTY,975,Homebound,Marion,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","204 Betsy Pack DR, Jasper, TN 37347",POINT (-85.62535919999999 35.0758709),-85.62535919999999,35.0758709
SOUTH CENTRAL CORE REGIONAL OFFICE,590,MARSHALL COUNTY,975,Homebound,Marshall,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","700 Jones CIR, Lewisburg, TN 37091",POINT (-86.7838543 35.4574576),-86.7838543,35.4574576
EAST TENNESSEE CORE REGIONAL OFFICE,52,MARYVILLE,975,Homebound,Blount,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","833 Lawrence AVE, Maryville, TN 37803",POINT (-83.97849789999999 35.747384),-83.9784979,35.747384
SOUTH CENTRAL CORE REGIONAL OFFICE,600,MAURY COUNTY,975,Homebound,Maury,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","501 W 8th ST, Columbia, TN 38401",POINT (-87.04099459999999 35.6138866),-87.04099459999999,35.6138866
NORTHWEST TENNESSEE CORE REGIONAL OFFICE,94,MCKENZIE,975,Homebound,Carroll,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","114 W Bell AVE, McKenzie, TN 38201",POINT (-88.5221974 36.1417703),-88.5221974,36.1417703
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,540,MCMINN COUNTY,975,Homebound,McMinn,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","216 N Jackson, Athens, TN 37303",POINT (-84.59412619999999 35.4446709),-84.59412619999999,35.4446709
SOUTHWEST CORE REGIONAL OFFICE,550,MCNAIRY COUNTY,975,Homebound,McNairy,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","530 Mulberry AVE, Selmer, TN 38375",POINT (-88.58300819999999 35.1638044),-88.5830082,35.1638044
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,610,MEIGS COUNTY,975,Homebound,Meigs,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","Po Box 1039, Decatur, TN 37322",POINT (-84.7902223 35.5147939),-84.7902223,35.5147939
NORTHWEST TENNESSEE CORE REGIONAL OFFICE,272,MILAN,975,Homebound,Gibson,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","1165 South Main ST, Milan, TN 38358",POINT (-88.75831119999999 35.9189911),-88.7583112,35.9189911
EAST TENNESSEE CORE REGIONAL OFFICE,620,MONROE COUNTY,975,Homebound,Monroe,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","205 Oak Grove RD, Madisonville, TN 37354",POINT (-84.3546157 35.5355174),-84.3546157,35.5355174
MID CUMBERLAND CORE REGIONAL OFFICE,630,MONTGOMERY COUNTY,975,Homebound,Montgomery,Homebound,mary.davila@cmcss.net,Principal: Mary Davila,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","621 Gracey AVE, Clarksville, TN 37040",POINT (-87.344905 36.5203776),-87.344905,36.5203776
SOUTH CENTRAL CORE REGIONAL OFFICE,640,MOORE COUNTY,975,Homebound,Moore,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","Box 219, Lynchburg, TN 37352",POINT (-86.357952 35.2700506),-86.357952,35.2700506
EAST TENNESSEE CORE REGIONAL OFFICE,650,MORGAN COUNTY,975,Homebound,Morgan,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","136 Flat Fork RD, Wartburg, TN 37887",POINT (-84.552194 36.0996773),-84.552194,36.0996773
MID CUMBERLAND CORE REGIONAL OFFICE,751,MURFREESBORO,975,Homebound,Rutherford,Homebound,greg.lyles@cityschools.net,Principal: Mr. Greg Lyles,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","2552 S Church ST, Murfreesboro, TN 37127",POINT (-86.39887499999999 35.8027925),-86.39887499999999,35.8027925
FIRST TENNESSEE CORE REGIONAL OFFICE,151,NEWPORT,975,Homebound,Cocke,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","301 College ST, Newport, TN 37821",POINT (-83.1872568 35.9627932),-83.1872568,35.9627932
EAST TENNESSEE CORE REGIONAL OFFICE,12,OAK RIDGE,975,Homebound,Anderson,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","New York AVE, Oak Ridge, TN 37831",POINT (-84.251874 36.0257608),-84.251874,36.0257608
NORTHWEST TENNESSEE CORE REGIONAL OFFICE,660,OBION COUNTY,975,Homebound,Obion,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","316 S Third ST, Union City, TN 38261",POINT (-89.0590258 36.4239087),-89.0590258,36.4239087
EAST TENNESSEE CORE REGIONAL OFFICE,761,ONEIDA,975,Homebound,Scott,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","195 N Bank, Oneida, TN 37841",POINT (-84.51136339999999 36.5031036),-84.5113634,36.5031036
UPPER CUMBERLAND CORE REGIONAL OFFICE,670,OVERTON COUNTY,975,Homebound,Overton,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","112 Bussell ST, Livingston, TN 38570",POINT (-85.3166105 36.3872229),-85.3166105,36.3872229
NORTHWEST TENNESSEE CORE REGIONAL OFFICE,401,PARIS,975,Homebound,Henry,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","1219 Hwy 641 S, Paris, TN 38242",POINT (-88.29389379999999 36.2820159),-88.29389379999999,36.2820159
SOUTH CENTRAL CORE REGIONAL OFFICE,680,PERRY COUNTY,975,Homebound,Perry,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","Rt 10 Box 3 B, Linden, TN 37096",POINT (-87.8394704 35.6172917),-87.8394704,35.6172917
UPPER CUMBERLAND CORE REGIONAL OFFICE,690,PICKETT COUNTY,975,Homebound,Pickett,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","1216 Woodlawn DR, Byrdstown, TN 38549",POINT (-85.13361379999999 36.5796084),-85.13361379999999,36.5796084
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,700,POLK COUNTY,975,Homebound,Polk,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","Po Box A, Benton, TN 37307",POINT (-84.65078609999999 35.1721181),-84.65078609999999,35.1721181
UPPER CUMBERLAND CORE REGIONAL OFFICE,710,PUTNAM COUNTY,975,Homebound,Putnam,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","1400 E Spring ST, Cookeville, TN 38506",POINT (-85.4714774 36.1518583),-85.4714774,36.1518583
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,720,RHEA COUNTY DEPARTMENT OF EDUCATION,975,Homebound,Rhea,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","305 California AVE, Dayton, TN 37321",POINT (-85.0224934 35.48967830000001),-85.0224934,35.48967830000001
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,581,RICHARD CITY,975,Homebound,Marion,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","1620 Hamilton AVE, South Pittsburg, TN 37380",POINT (-85.7208272 34.99563699999999),-85.7208272,34.99563699999999
EAST TENNESSEE CORE REGIONAL OFFICE,730,ROANE COUNTY,975,Homebound,Roane,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","105 Bluff RD, Kingston, TN 37763",POINT (-84.5299285 35.8894777),-84.5299285,35.8894777
MID CUMBERLAND CORE REGIONAL OFFICE,740,ROBERTSON COUNTY,975,Homebound,Robertson,Homebound,teresa.leavitt@rcstn.net,Principal: Teresa Leavitt,A,(615) 384-5588,,"K,1,2,3,4,5,6,7,8,9,10,11,12","800 M S Couts BLV, Springfield, TN 37172",POINT (-86.89760570000001 36.5000155),-86.89760570000001,36.5000155
MID CUMBERLAND CORE REGIONAL OFFICE,750,RUTHERFORD COUNTY,975,Homebound,Rutherford,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","2240 South Park BLVD, Murfreesboro, TN 37128",POINT (-86.40254209999999 35.8132118),-86.40254209999999,35.8132118
EAST TENNESSEE CORE REGIONAL OFFICE,760,SCOTT COUNTY,975,Homebound,Scott,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","208 Court ST, Huntsville, TN 37756",POINT (-84.49013819999999 36.4100193),-84.49013819999999,36.4100193
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,770,SEQUATCHIE COUNTY,975,Homebound,Sequatchie,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","24 Spring ST, Dunlap, TN 37327",POINT (-85.38733429999999 35.3713755),-85.38733429999999,35.3713755
EAST TENNESSEE CORE REGIONAL OFFICE,780,SEVIER COUNTY,975,Homebound,Sevier,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","226 Cedar ST, Sevierville, TN 37862",POINT (-83.56185099999999 35.8658771),-83.56185099999999,35.8658771
UPPER CUMBERLAND CORE REGIONAL OFFICE,800,SMITH COUNTY,975,Homebound,Smith,Homebound,hembreel@smithcoedu.net,Principal: Lisa Hembree,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","126 SCMS LN, Carthage, TN 37030",POINT (-85.9468576 36.2260871),-85.9468576,36.2260871
NORTHWEST TENNESSEE CORE REGIONAL OFFICE,95,SOUTH CARROLL,975,Homebound,Carroll,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","145 Clarksburg RD, Clarksburg, TN 38324",POINT (-88.3898559 35.8715141),-88.3898559,35.8715141
MID CUMBERLAND CORE REGIONAL OFFICE,810,STEWART COUNTY,975,Homebound,Stewart,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","1031 Spring, Dover, TN 37058",POINT (-87.82380379999999 36.4833945),-87.8238038,36.4833945
FIRST TENNESSEE CORE REGIONAL OFFICE,820,SULLIVAN COUNTY,975,Homebound,Sullivan,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","Po Box 306, Blountville, TN 37617",POINT (-82.32680599999999 36.5331586),-82.32680599999999,36.5331586
MID CUMBERLAND CORE REGIONAL OFFICE,830,SUMNER COUNTY,975,Homebound,Sumner,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","225 E Main ST, Gallatin, TN 37066",POINT (-86.4428478 36.3888095),-86.4428478,36.3888095
SOUTHWEST CORE REGIONAL OFFICE,840,TIPTON COUNTY,975,Homebound,Tipton,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","1580 Hwy 51 S, Covington, TN 38019",POINT (-90.01995889999999 35.1034653),-90.01995889999999,35.1034653
NORTHWEST TENNESSEE CORE REGIONAL OFFICE,273,TRENTON,975,Homebound,Gibson,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","201 W 10th ST, Trenton, TN 38382",POINT (-88.9441174 35.9681451),-88.9441174,35.9681451
UPPER CUMBERLAND CORE REGIONAL OFFICE,850,TROUSDALE COUNTY,975,Homebound,Trousdale,Homebound,,Principal: ,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","103 Lock 6 RD, Hartsville, TN 37074",POINT (-86.13912239999999 36.38612320000001),-86.13912239999999,36.38612320000001
